TRAJECTORY;ASTAGarageSquare_fellow_3;0.1;1809;;;;;;;
LINE;0.00;21.86;105.52;0.00; 5.07;  0.00;   0.00;    0.00;0;ENDLINE
LINE;0.01;21.86;105.52;0.00; 5.07;  0.00;   0.04;    0.00;0;ENDLINE
LINE;0.02;21.86;105.52;0.00; 5.07;  0.00;   0.11;    0.00;0;ENDLINE
LINE;0.03;21.86;105.52;0.00; 5.07;  0.00;   0.22;    0.00;0;ENDLINE
LINE;0.04;21.86;105.52;0.00; 5.07;  0.00;   0.35;    0.00;0;ENDLINE
LINE;0.05;21.86;105.52;0.00; 5.07;  0.01;   0.47;    0.00;0;ENDLINE
LINE;0.06;21.86;105.52;0.00; 5.07;  0.01;   0.59;    0.00;0;ENDLINE
LINE;0.07;21.86;105.52;0.00; 5.07;  0.02;   0.70;    0.00;0;ENDLINE
LINE;0.08;21.86;105.52;0.00; 5.07;  0.02;   0.80;    0.00;0;ENDLINE
LINE;0.09;21.86;105.52;0.00; 5.07;  0.03;   0.90;    0.00;0;ENDLINE
LINE;0.10;21.86;105.52;0.00; 5.07;  0.04;   1.00;    0.00;0;ENDLINE
LINE;0.11;21.86;105.52;0.00; 5.07;  0.05;   1.10;    0.00;0;ENDLINE
LINE;0.12;21.86;105.52;0.00; 5.07;  0.06;   1.19;    0.00;0;ENDLINE
LINE;0.13;21.86;105.52;0.00; 5.07;  0.07;   1.28;    0.00;0;ENDLINE
LINE;0.14;21.86;105.52;0.00; 5.07;  0.09;   1.37;    0.00;0;ENDLINE
LINE;0.15;21.86;105.52;0.00; 5.07;  0.10;   1.45;    0.00;0;ENDLINE
LINE;0.16;21.86;105.51;0.00; 5.07;  0.12;   1.53;    0.00;0;ENDLINE
LINE;0.17;21.86;105.51;0.00; 5.07;  0.13;   1.61;    0.00;0;ENDLINE
LINE;0.18;21.86;105.51;0.00; 5.07;  0.15;   1.68;    0.00;0;ENDLINE
LINE;0.19;21.86;105.51;0.00; 5.07;  0.16;   1.74;    0.00;0;ENDLINE
LINE;0.20;21.86;105.51;0.00; 5.07;  0.18;   1.81;    0.00;0;ENDLINE
LINE;0.21;21.86;105.51;0.00; 5.07;  0.20;   1.87;    0.00;0;ENDLINE
LINE;0.22;21.86;105.51;0.00; 5.07;  0.22;   1.92;    0.00;0;ENDLINE
LINE;0.23;21.86;105.50;0.00; 5.07;  0.24;   1.97;    0.00;0;ENDLINE
LINE;0.24;21.86;105.50;0.00; 5.07;  0.26;   2.02;    0.00;0;ENDLINE
LINE;0.25;21.86;105.50;0.00; 5.07;  0.28;   2.07;    0.00;0;ENDLINE
LINE;0.26;21.86;105.50;0.00; 5.07;  0.30;   2.11;    0.00;0;ENDLINE
LINE;0.27;21.87;105.49;0.00; 5.07;  0.32;   2.15;    0.00;0;ENDLINE
LINE;0.28;21.87;105.49;0.00; 5.07;  0.34;   2.19;    0.00;0;ENDLINE
LINE;0.29;21.87;105.49;0.00; 5.07;  0.36;   2.23;    0.00;0;ENDLINE
LINE;0.30;21.87;105.48;0.00; 5.07;  0.38;   2.26;    0.00;0;ENDLINE
LINE;0.31;21.87;105.48;0.00; 5.07;  0.41;   2.29;    0.00;0;ENDLINE
LINE;0.32;21.87;105.48;0.00; 5.07;  0.43;   2.32;    0.00;0;ENDLINE
LINE;0.33;21.87;105.47;0.00; 5.07;  0.45;   2.35;    0.00;0;ENDLINE
LINE;0.34;21.88;105.47;0.00; 5.07;  0.48;   2.37;    0.00;0;ENDLINE
LINE;0.35;21.88;105.46;0.00; 5.07;  0.50;   2.40;    0.00;0;ENDLINE
LINE;0.36;21.88;105.46;0.00; 5.07;  0.52;   2.42;    0.00;0;ENDLINE
LINE;0.37;21.88;105.45;0.00; 5.07;  0.55;   2.44;    0.00;0;ENDLINE
LINE;0.38;21.88;105.45;0.00; 5.07;  0.57;   2.46;    0.00;0;ENDLINE
LINE;0.39;21.88;105.44;0.00; 5.07;  0.60;   2.47;    0.00;0;ENDLINE
LINE;0.40;21.89;105.44;0.00; 5.07;  0.62;   2.49;    0.00;0;ENDLINE
LINE;0.41;21.89;105.43;0.00; 5.07;  0.65;   2.50;    0.00;0;ENDLINE
LINE;0.42;21.89;105.42;0.00; 5.07;  0.67;   2.52;    0.00;0;ENDLINE
LINE;0.43;21.89;105.42;0.00; 5.07;  0.70;   2.53;    0.00;0;ENDLINE
LINE;0.44;21.90;105.41;0.00; 5.07;  0.72;   2.54;    0.00;0;ENDLINE
LINE;0.45;21.90;105.40;0.00; 5.07;  0.75;   2.55;    0.00;0;ENDLINE
LINE;0.46;21.90;105.40;0.00; 5.07;  0.77;   2.55;    0.00;0;ENDLINE
LINE;0.47;21.90;105.39;0.00; 5.07;  0.80;   2.56;    0.00;0;ENDLINE
LINE;0.48;21.91;105.38;0.00; 5.07;  0.82;   2.57;    0.00;0;ENDLINE
LINE;0.49;21.91;105.37;0.00; 5.07;  0.85;   2.57;    0.00;0;ENDLINE
LINE;0.50;21.91;105.37;0.00; 5.07;  0.88;   2.57;    0.00;0;ENDLINE
LINE;0.51;21.92;105.36;0.00; 5.07;  0.90;   2.57;    0.00;0;ENDLINE
LINE;0.52;21.92;105.35;0.00; 5.07;  0.93;   2.57;    0.00;0;ENDLINE
LINE;0.53;21.92;105.34;0.00; 5.07;  0.95;   2.56;    0.00;0;ENDLINE
LINE;0.54;21.93;105.33;0.00; 5.07;  0.98;   2.56;    0.00;0;ENDLINE
LINE;0.55;21.93;105.32;0.00; 5.07;  1.00;   2.55;    0.00;0;ENDLINE
LINE;0.56;21.93;105.31;0.00; 5.07;  1.03;   2.55;    0.00;0;ENDLINE
LINE;0.57;21.94;105.30;0.00; 5.07;  1.06;   2.54;    0.00;0;ENDLINE
LINE;0.58;21.94;105.29;0.00; 5.07;  1.08;   2.54;    0.00;0;ENDLINE
LINE;0.59;21.94;105.28;0.00; 5.07;  1.11;   2.53;    0.00;0;ENDLINE
LINE;0.60;21.95;105.27;0.00; 5.07;  1.13;   2.52;    0.00;0;ENDLINE
LINE;0.61;21.95;105.26;0.00; 5.07;  1.16;   2.52;    0.00;0;ENDLINE
LINE;0.62;21.96;105.25;0.00; 5.07;  1.18;   2.51;    0.00;0;ENDLINE
LINE;0.63;21.96;105.24;0.00; 5.07;  1.21;   2.50;    0.00;0;ENDLINE
LINE;0.64;21.97;105.23;0.00; 5.07;  1.23;   2.49;    0.00;0;ENDLINE
LINE;0.65;21.97;105.22;0.00; 5.07;  1.26;   2.49;    0.00;0;ENDLINE
LINE;0.66;21.97;105.20;0.00; 5.07;  1.28;   2.48;    0.00;0;ENDLINE
LINE;0.67;21.98;105.19;0.00; 5.07;  1.31;   2.47;    0.00;0;ENDLINE
LINE;0.68;21.98;105.18;0.00; 5.07;  1.33;   2.46;    0.00;0;ENDLINE
LINE;0.69;21.99;105.17;0.00; 5.07;  1.36;   2.45;    0.00;0;ENDLINE
LINE;0.70;21.99;105.15;0.00; 5.07;  1.38;   2.45;    0.00;0;ENDLINE
LINE;0.71;22.00;105.14;0.00; 5.07;  1.40;   2.44;    0.00;0;ENDLINE
LINE;0.72;22.00;105.13;0.00; 5.07;  1.43;   2.43;    0.00;0;ENDLINE
LINE;0.73;22.01;105.11;0.00; 5.07;  1.45;   2.42;    0.00;0;ENDLINE
LINE;0.74;22.01;105.10;0.00; 5.07;  1.48;   2.42;    0.00;0;ENDLINE
LINE;0.75;22.02;105.09;0.00; 5.07;  1.50;   2.41;    0.00;0;ENDLINE
LINE;0.76;22.02;105.07;0.00; 5.07;  1.53;   2.40;    0.00;0;ENDLINE
LINE;0.77;22.03;105.06;0.00; 5.07;  1.55;   2.39;    0.00;0;ENDLINE
LINE;0.78;22.03;105.04;0.00; 5.07;  1.57;   2.39;    0.00;0;ENDLINE
LINE;0.79;22.04;105.03;0.00; 5.07;  1.60;   2.38;    0.00;0;ENDLINE
LINE;0.80;22.05;105.01;0.00; 5.07;  1.62;   2.37;    0.00;0;ENDLINE
LINE;0.81;22.05;105.00;0.00; 5.07;  1.65;   2.37;    0.00;0;ENDLINE
LINE;0.82;22.06;104.98;0.00; 5.07;  1.67;   2.36;    0.00;0;ENDLINE
LINE;0.83;22.06;104.97;0.00; 5.07;  1.69;   2.35;    0.00;0;ENDLINE
LINE;0.84;22.07;104.95;0.00; 5.07;  1.72;   2.35;    0.00;0;ENDLINE
LINE;0.85;22.08;104.94;0.00; 5.07;  1.74;   2.34;    0.00;0;ENDLINE
LINE;0.86;22.08;104.92;0.00; 5.07;  1.76;   2.33;    0.00;0;ENDLINE
LINE;0.87;22.09;104.90;0.00; 5.07;  1.79;   2.33;    0.00;0;ENDLINE
