TRAJECTORY;ASTAGarageSquare_fellow_4;0.1;1809;;;;;;;
LINE;0.00;18.11;104.11;0.00; 5.07;  0.00;   0.00;    0.00;0;ENDLINE
LINE;0.01;18.11;104.11;0.00; 5.07;  0.00;   0.04;    0.00;0;ENDLINE
LINE;0.02;18.11;104.11;0.00; 5.07;  0.00;   0.11;    0.00;0;ENDLINE
LINE;0.03;18.11;104.11;0.00; 5.07;  0.00;   0.22;    0.00;0;ENDLINE
LINE;0.04;18.11;104.11;0.00; 5.07;  0.00;   0.35;    0.00;0;ENDLINE
LINE;0.05;18.11;104.11;0.00; 5.07;  0.01;   0.47;    0.00;0;ENDLINE
LINE;0.06;18.11;104.11;0.00; 5.07;  0.01;   0.59;    0.00;0;ENDLINE
LINE;0.07;18.11;104.11;0.00; 5.07;  0.02;   0.70;    0.00;0;ENDLINE
LINE;0.08;18.11;104.11;0.00; 5.07;  0.02;   0.80;    0.00;0;ENDLINE
LINE;0.09;18.11;104.11;0.00; 5.07;  0.03;   0.90;    0.00;0;ENDLINE
LINE;0.10;18.11;104.11;0.00; 5.07;  0.04;   1.00;    0.00;0;ENDLINE
LINE;0.11;18.11;104.11;0.00; 5.07;  0.05;   1.10;    0.00;0;ENDLINE
LINE;0.12;18.11;104.11;0.00; 5.07;  0.06;   1.19;    0.00;0;ENDLINE
LINE;0.13;18.11;104.10;0.00; 5.07;  0.07;   1.28;    0.00;0;ENDLINE
LINE;0.14;18.11;104.10;0.00; 5.07;  0.09;   1.37;    0.00;0;ENDLINE
LINE;0.15;18.11;104.10;0.00; 5.07;  0.10;   1.45;    0.00;0;ENDLINE
LINE;0.16;18.11;104.10;0.00; 5.07;  0.12;   1.53;    0.00;0;ENDLINE
LINE;0.17;18.12;104.10;0.00; 5.07;  0.13;   1.61;    0.00;0;ENDLINE
LINE;0.18;18.12;104.10;0.00; 5.07;  0.15;   1.68;    0.00;0;ENDLINE
LINE;0.19;18.12;104.10;0.00; 5.07;  0.16;   1.74;    0.00;0;ENDLINE
LINE;0.20;18.12;104.10;0.00; 5.07;  0.18;   1.81;    0.00;0;ENDLINE
LINE;0.21;18.12;104.09;0.00; 5.07;  0.20;   1.87;    0.00;0;ENDLINE
LINE;0.22;18.12;104.09;0.00; 5.07;  0.22;   1.92;    0.00;0;ENDLINE
LINE;0.23;18.12;104.09;0.00; 5.07;  0.24;   1.97;    0.00;0;ENDLINE
LINE;0.24;18.12;104.09;0.00; 5.07;  0.26;   2.02;    0.00;0;ENDLINE
LINE;0.25;18.12;104.09;0.00; 5.07;  0.28;   2.07;    0.00;0;ENDLINE
LINE;0.26;18.12;104.08;0.00; 5.07;  0.30;   2.11;    0.00;0;ENDLINE
LINE;0.27;18.12;104.08;0.00; 5.07;  0.32;   2.15;    0.00;0;ENDLINE
LINE;0.28;18.12;104.08;0.00; 5.07;  0.34;   2.19;    0.00;0;ENDLINE
LINE;0.29;18.13;104.07;0.00; 5.07;  0.36;   2.23;    0.00;0;ENDLINE
LINE;0.30;18.13;104.07;0.00; 5.07;  0.38;   2.26;    0.00;0;ENDLINE
LINE;0.31;18.13;104.07;0.00; 5.07;  0.41;   2.29;    0.00;0;ENDLINE
LINE;0.32;18.13;104.06;0.00; 5.07;  0.43;   2.32;    0.00;0;ENDLINE
