TRAJECTORY;ASTAGarageSquare_ego;0.1;1809;;;;;;;
LINE;0.00;25.60;106.93;0.00; 5.07;  0.00;   0.00;    0.00;0;ENDLINE
LINE;0.01;25.60;106.93;0.00; 5.07;  0.00;   0.01;    0.00;0;ENDLINE
LINE;0.02;25.60;106.93;0.00; 5.07;  0.00;   0.08;    0.00;0;ENDLINE
LINE;0.03;25.60;106.93;0.00; 5.07;  0.00;   0.16;    0.00;0;ENDLINE
LINE;0.04;25.60;106.93;0.00; 5.07;  0.00;   0.28;    0.00;0;ENDLINE
LINE;0.05;25.60;106.93;0.00; 5.07;  0.01;   0.40;    0.00;0;ENDLINE
LINE;0.06;25.60;106.93;0.00; 5.07;  0.01;   0.51;    0.00;0;ENDLINE
LINE;0.07;25.60;106.93;0.00; 5.07;  0.02;   0.61;    0.00;0;ENDLINE
LINE;0.08;25.60;106.93;0.00; 5.07;  0.02;   0.72;    0.00;0;ENDLINE
LINE;0.09;25.60;106.93;0.00; 5.07;  0.03;   0.82;    0.00;0;ENDLINE
LINE;0.10;25.60;106.93;0.00; 5.07;  0.04;   0.92;    0.00;0;ENDLINE
LINE;0.11;25.60;106.93;0.00; 5.07;  0.05;   1.02;    0.00;0;ENDLINE
LINE;0.12;25.60;106.93;0.00; 5.07;  0.06;   1.11;    0.00;0;ENDLINE
LINE;0.13;25.60;106.93;0.00; 5.07;  0.07;   1.20;    0.00;0;ENDLINE
LINE;0.14;25.60;106.93;0.00; 5.07;  0.08;   1.29;    0.00;0;ENDLINE
LINE;0.15;25.60;106.93;0.00; 5.07;  0.10;   1.38;    0.00;0;ENDLINE
LINE;0.16;25.60;106.93;0.00; 5.07;  0.11;   1.47;    0.00;0;ENDLINE
LINE;0.17;25.60;106.93;0.00; 5.07;  0.13;   1.55;    0.00;0;ENDLINE
LINE;0.18;25.60;106.93;0.00; 5.07;  0.14;   1.63;    0.00;0;ENDLINE
LINE;0.19;25.60;106.92;0.00; 5.07;  0.16;   1.70;    0.00;0;ENDLINE
LINE;0.20;25.60;106.92;0.01; 5.07;  0.18;   1.78;    0.00;0;ENDLINE
LINE;0.21;25.60;106.92;0.01; 5.07;  0.19;   1.84;    0.00;0;ENDLINE
LINE;0.22;25.60;106.92;0.01; 5.07;  0.21;   1.91;    0.00;0;ENDLINE
LINE;0.23;25.60;106.92;0.01; 5.07;  0.23;   1.97;    0.00;0;ENDLINE
LINE;0.24;25.60;106.91;0.01; 5.07;  0.25;   2.02;    0.00;0;ENDLINE
LINE;0.25;25.61;106.91;0.01; 5.07;  0.27;   2.08;    0.00;0;ENDLINE
LINE;0.26;25.61;106.91;0.01; 5.07;  0.29;   2.12;    0.00;0;ENDLINE
LINE;0.27;25.61;106.91;0.01; 5.07;  0.32;   2.17;    0.00;0;ENDLINE
LINE;0.28;25.61;106.90;0.01; 5.07;  0.34;   2.21;    0.00;0;ENDLINE
LINE;0.29;25.61;106.90;0.01; 5.07;  0.36;   2.25;    0.00;0;ENDLINE
LINE;0.30;25.61;106.90;0.01; 5.07;  0.38;   2.29;    0.00;0;ENDLINE
LINE;0.31;25.61;106.89;0.01; 5.07;  0.41;   2.33;    0.00;0;ENDLINE
LINE;0.32;25.61;106.89;0.01; 5.07;  0.43;   2.36;    0.00;0;ENDLINE
LINE;0.33;25.62;106.88;0.01; 5.07;  0.45;   2.39;    0.00;0;ENDLINE
LINE;0.34;25.62;106.88;0.01; 5.07;  0.48;   2.41;    0.00;0;ENDLINE
LINE;0.35;25.62;106.88;0.01; 5.07;  0.50;   2.43;    0.00;0;ENDLINE
LINE;0.36;25.62;106.87;0.01; 5.07;  0.52;   2.46;    0.00;0;ENDLINE
LINE;0.37;25.62;106.87;0.01; 5.07;  0.55;   2.47;    0.00;0;ENDLINE
LINE;0.38;25.62;106.86;0.01; 5.07;  0.57;   2.49;    0.00;0;ENDLINE
LINE;0.39;25.63;106.85;0.01; 5.07;  0.60;   2.51;    0.00;0;ENDLINE
LINE;0.40;25.63;106.85;0.01; 5.07;  0.62;   2.52;    0.00;0;ENDLINE
LINE;0.41;25.63;106.84;0.01; 5.07;  0.65;   2.53;    0.00;0;ENDLINE
LINE;0.42;25.63;106.84;0.01; 5.07;  0.67;   2.54;    0.00;0;ENDLINE
LINE;0.43;25.64;106.83;0.01; 5.07;  0.70;   2.55;    0.00;0;ENDLINE
LINE;0.44;25.64;106.82;0.01; 5.07;  0.73;   2.55;    0.00;0;ENDLINE
LINE;0.45;25.64;106.82;0.01; 5.07;  0.75;   2.56;    0.00;0;ENDLINE
LINE;0.46;25.64;106.81;0.01; 5.07;  0.78;   2.56;    0.00;0;ENDLINE
LINE;0.47;25.65;106.80;0.01; 5.07;  0.80;   2.57;    0.00;0;ENDLINE
LINE;0.48;25.65;106.79;0.01; 5.07;  0.83;   2.57;    0.00;0;ENDLINE
LINE;0.49;25.65;106.79;0.01; 5.07;  0.85;   2.57;    0.00;0;ENDLINE
LINE;0.50;25.66;106.78;0.01; 5.07;  0.88;   2.57;    0.00;0;ENDLINE
LINE;0.51;25.66;106.77;0.01; 5.07;  0.91;   2.57;    0.00;0;ENDLINE
LINE;0.52;25.66;106.76;0.01; 5.07;  0.93;   2.56;    0.00;0;ENDLINE
LINE;0.53;25.67;106.75;0.01; 5.07;  0.96;   2.56;    0.00;0;ENDLINE
LINE;0.54;25.67;106.74;0.01; 5.07;  0.98;   2.55;    0.00;0;ENDLINE
LINE;0.55;25.67;106.73;0.01; 5.07;  1.01;   2.55;    0.00;0;ENDLINE
LINE;0.56;25.68;106.72;0.01; 5.07;  1.03;   2.54;    0.00;0;ENDLINE
LINE;0.57;25.68;106.71;0.01; 5.07;  1.06;   2.53;    0.00;0;ENDLINE
LINE;0.58;25.68;106.70;0.01; 5.07;  1.08;   2.53;    0.00;0;ENDLINE
LINE;0.59;25.69;106.69;0.01; 5.07;  1.11;   2.52;    0.00;0;ENDLINE
LINE;0.60;25.69;106.68;0.01; 5.07;  1.13;   2.52;    0.00;0;ENDLINE
LINE;0.61;25.70;106.67;0.01; 5.07;  1.16;   2.51;    0.00;0;ENDLINE
LINE;0.62;25.70;106.66;0.01; 5.07;  1.18;   2.50;    0.00;0;ENDLINE
LINE;0.63;25.70;106.65;0.01; 5.07;  1.21;   2.50;    0.00;0;ENDLINE
LINE;0.64;25.71;106.64;0.01; 5.07;  1.23;   2.49;    0.00;0;ENDLINE
LINE;0.65;25.71;106.63;0.01; 5.07;  1.26;   2.48;    0.00;0;ENDLINE
LINE;0.66;25.72;106.62;0.01; 5.07;  1.28;   2.48;    0.00;0;ENDLINE
LINE;0.67;25.72;106.60;0.01; 5.07;  1.31;   2.47;    0.00;0;ENDLINE
LINE;0.68;25.73;106.59;0.01; 5.07;  1.33;   2.46;    0.00;0;ENDLINE
LINE;0.69;25.73;106.58;0.01; 5.07;  1.36;   2.46;    0.00;0;ENDLINE
LINE;0.70;25.74;106.57;0.01; 5.07;  1.38;   2.45;    0.00;0;ENDLINE
LINE;0.71;25.74;106.55;0.01; 5.07;  1.41;   2.44;    0.00;0;ENDLINE
LINE;0.72;25.75;106.54;0.01; 5.07;  1.43;   2.43;    0.00;0;ENDLINE
LINE;0.73;25.75;106.53;0.01; 5.07;  1.46;   2.43;    0.00;0;ENDLINE
LINE;0.74;25.76;106.51;0.01; 5.07;  1.48;   2.42;    0.00;0;ENDLINE
LINE;0.75;25.76;106.50;0.01; 5.07;  1.50;   2.41;    0.00;0;ENDLINE
LINE;0.76;25.77;106.48;0.01; 5.07;  1.53;   2.41;    0.00;0;ENDLINE
LINE;0.77;25.77;106.47;0.01; 5.07;  1.55;   2.40;    0.00;0;ENDLINE
LINE;0.78;25.78;106.46;0.01; 5.07;  1.58;   2.39;    0.00;0;ENDLINE
LINE;0.79;25.78;106.44;0.01; 5.07;  1.60;   2.38;    0.00;0;ENDLINE
LINE;0.80;25.79;106.43;0.01; 5.07;  1.62;   2.38;    0.00;0;ENDLINE
LINE;0.81;25.79;106.41;0.01; 5.07;  1.65;   2.37;    0.00;0;ENDLINE
LINE;0.82;25.80;106.39;0.01; 5.07;  1.67;   2.36;    0.00;0;ENDLINE
LINE;0.83;25.81;106.38;0.01; 5.07;  1.69;   2.36;    0.00;0;ENDLINE
LINE;0.84;25.81;106.36;0.01; 5.07;  1.72;   2.35;    0.00;0;ENDLINE
LINE;0.85;25.82;106.35;0.01; 5.07;  1.74;   2.34;    0.00;0;ENDLINE
LINE;0.86;25.82;106.33;0.01; 5.07;  1.77;   2.34;    0.00;0;ENDLINE
LINE;0.87;25.83;106.31;0.01; 5.07;  1.79;   2.33;    0.00;0;ENDLINE
LINE;0.88;25.84;106.30;0.01; 5.07;  1.81;   2.32;    0.00;0;ENDLINE
LINE;0.89;25.84;106.28;0.01; 5.07;  1.84;   2.32;    0.00;0;ENDLINE
LINE;0.90;25.85;106.26;0.01; 5.07;  1.86;   2.31;    0.00;0;ENDLINE
LINE;0.91;25.86;106.24;0.01; 5.07;  1.88;   2.30;    0.00;0;ENDLINE
LINE;0.92;25.86;106.23;0.01; 5.07;  1.90;   2.30;    0.00;0;ENDLINE
LINE;0.93;25.87;106.21;0.01; 5.07;  1.93;   2.29;    0.00;0;ENDLINE
LINE;0.94;25.88;106.19;0.01; 5.07;  1.95;   2.28;    0.00;0;ENDLINE
LINE;0.95;25.88;106.17;0.01; 5.07;  1.97;   2.28;    0.00;0;ENDLINE
LINE;0.96;25.89;106.15;0.01; 5.07;  2.00;   2.27;    0.00;0;ENDLINE
LINE;0.97;25.90;106.14;0.01; 5.07;  2.02;   2.26;    0.00;0;ENDLINE
LINE;0.98;25.91;106.12;0.01; 5.07;  2.04;   2.26;    0.00;0;ENDLINE
LINE;0.99;25.91;106.10;0.01; 5.07;  2.06;   2.25;    0.00;0;ENDLINE
LINE;1.00;25.92;106.08;0.01; 5.07;  2.09;   2.25;    0.00;0;ENDLINE
LINE;1.01;25.93;106.06;0.01; 5.07;  2.11;   2.24;    0.00;0;ENDLINE
LINE;1.02;25.94;106.04;0.01; 5.07;  2.13;   2.23;    0.00;0;ENDLINE
LINE;1.03;25.94;106.02;0.01; 5.07;  2.15;   2.23;    0.00;0;ENDLINE
LINE;1.04;25.95;106.00;0.01; 5.07;  2.18;   2.22;    0.00;0;ENDLINE
LINE;1.05;25.96;105.98;0.01; 5.07;  2.20;   2.21;    0.00;0;ENDLINE
LINE;1.06;25.97;105.96;0.01; 5.07;  2.22;   2.21;    0.00;0;ENDLINE
LINE;1.07;25.97;105.94;0.01; 5.07;  2.24;   2.20;    0.00;0;ENDLINE
LINE;1.08;25.98;105.91;0.01; 5.07;  2.26;   2.20;    0.00;0;ENDLINE
LINE;1.09;25.99;105.89;0.01; 5.07;  2.29;   2.19;    0.00;0;ENDLINE
